Data/Hora: 27/10/2024 02:00:36 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: GET, URL: /api/Professors, Tempo de Processamento: 3146ms
Data/Hora: 30/10/2024 19:27:53 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: GET, URL: /api/Professors, Tempo de Processamento: 4386ms
Data/Hora: 30/10/2024 19:28:10 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: GET, URL: /api/Projects, Tempo de Processamento: 24ms
Data/Hora: 30/10/2024 19:28:53 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: POST, URL: /api/User, Tempo de Processamento: 898ms
Data/Hora: 30/10/2024 19:29:22 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: POST, URL: /api/Auth/login, Tempo de Processamento: 360ms
Data/Hora: 30/10/2024 19:29:34 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: POST, URL: /api/Auth/login, Tempo de Processamento: 98ms
Data/Hora: 30/10/2024 19:31:16 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: POST, URL: /api/Professors, Tempo de Processamento: 180ms
Data/Hora: 30/10/2024 19:31:48 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: POST, URL: /api/Professors, Tempo de Processamento: 27ms
Data/Hora: 30/10/2024 19:32:09 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: POST, URL: /api/Professors, Tempo de Processamento: 10ms
Data/Hora: 30/10/2024 19:32:23 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: GET, URL: /api/Professors, Tempo de Processamento: 6ms
Data/Hora: 30/10/2024 19:32:39 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: POST, URL: /api/Professors, Tempo de Processamento: 11ms
Data/Hora: 30/10/2024 19:34:49 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: POST, URL: /api/Professors, Tempo de Processamento: 3693ms
Data/Hora: 30/10/2024 19:35:16 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: POST, URL: /api/Skill, Tempo de Processamento: 234ms
Data/Hora: 30/10/2024 19:35:30 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: POST, URL: /api/Students, Tempo de Processamento: 232ms
Data/Hora: 01/11/2024 13:42:59 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: GET, URL: /api/Professors, Tempo de Processamento: 5110ms
Data/Hora: 01/11/2024 13:43:34 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: POST, URL: /api/User, Tempo de Processamento: 433ms
Data/Hora: 01/11/2024 13:44:32 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: GET, URL: /api/User, Tempo de Processamento: 382ms
Data/Hora: 01/11/2024 13:44:54 -03:00, IP do Cliente: 127.0.0.1, Possui Token JWT: False, Método: POST, URL: /api/Professors, Tempo de Processamento: 497ms
